SSN,Name,BirthDate,EmployedDate,Salary
173568,Nadia,1983-05-12,2011-04-05,37999
171667,Adeeb,1992-11-07,2013-04-25,53152
100722,Azura,1992-02-16,2018-09-02,31144
109878,Elina,1994-01-26,2016-06-17,47840
114433,Wafi,1983-07-10,2019-02-10,30272
154234,Nashit,1993-08-25,2016-05-26,37943
139472,Nurul,1990-05-21,2021-12-15,54799
107473,Zara,1982-06-17,2018-11-02,39524
125630,Afiq,1999-09-10,2017-03-24,43883
137925,Matthew,2000-01-22,2017-06-03,56217
189747,Arif,1990-02-09,2018-01-19,42473
144789,Lina,1989-09-06,2012-06-25,46042
160692,Izzat,1997-04-17,2018-02-06,61263
150773,Fikri,1988-06-26,2006-09-05,52556
186942,Afiq,1992-09-22,2003-02-27,49674
188982,Hakim,1995-04-20,2022-02-10,44808
124071,Izzah,1994-08-06,2005-06-08,34473
187694,Nur,1983-02-14,2015-03-02,58620
170570,Syahirah,1982-03-15,2001-06-19,56147
191138,Hakim,1998-03-27,2003-11-04,39118
112691,Harith,1994-10-08,2000-06-06,37937
137251,Nurul,1980-10-15,2000-08-07,30382
143588,Daniel,1981-08-01,2001-11-06,56136
135496,Nur,1989-02-24,2020-11-04,52461
108151,Ili,1980-09-17,2008-06-01,51092
113663,Ezra,1998-08-03,2019-12-16,61084
184675,Amira,1996-09-11,2011-09-15,34522
130349,Kamil,1992-06-23,2013-10-22,38380
131133,Nureen,1986-12-25,2020-04-25,34881
181406,Ain,1982-10-03,2003-11-21,58380
189086,Fatin,1984-01-16,2008-02-17,61628
153349,Qistina,1986-10-03,2016-07-18,51592
141929,Zainab,1997-08-10,2015-08-20,31837
136162,Syazwan,1990-11-19,2009-12-13,30510
166072,Hasif,1981-11-17,2020-09-17,46633
190150,Nurul,1985-09-27,2016-09-13,59766
163684,Ismail,1999-12-15,2003-08-19,36576
148601,Syed,1989-02-20,2004-05-13,48802
121264,Aisyah,2000-03-12,2004-11-12,57517
144585,Fatin,1992-10-10,2007-02-02,38585
196366,Marissa,1982-12-24,2022-07-05,37597
188165,Anis,1998-03-25,2013-09-05,54130
164819,Liyana,1997-10-26,2003-12-25,31373
154080,Luqman,1991-09-03,2013-05-15,33933
133359,Diana,1982-05-10,2016-10-14,61360
131970,Izzah,1989-02-27,2018-08-16,57620
160297,Qistina,1987-07-26,2022-12-10,44978
116025,Azura,1996-04-01,2021-10-08,51103
116986,Hasif,1999-08-16,2002-10-13,30969
167528,Ammar,1992-02-24,2022-11-24,33274
115073,Zaim,1994-07-19,2003-12-04,43486
184216,Aida,1997-07-10,2022-11-01,42259
181816,Fikri,1993-04-09,2019-04-23,42762
154040,Auni,1981-05-23,2004-02-11,45156
167424,Syed,1991-12-16,2001-11-10,53770
191928,Fatin,1985-08-05,2015-03-26,59557
111277,Lutfi,1994-11-24,2000-10-01,32625
161951,Matthew,1993-06-14,2007-08-13,33493
112520,Fatin,2000-02-20,2004-06-27,59582
178555,Arissa,1998-11-20,2005-03-22,60408
176080,Firdaus,1993-12-18,2008-03-06,44206
129909,Lutfi,1983-09-16,2001-12-06,37141
109251,Amir,1981-10-09,2021-05-22,51543
157930,Jane,1985-12-26,2013-06-04,48054
150827,Arif,1984-12-02,2016-06-17,57366
176960,Emma,1998-05-27,2017-05-24,45693
140294,Ikhwan,1990-10-12,2003-03-28,40970
106871,Akmal,2000-04-17,2015-08-16,46113
109365,Anis,1991-04-07,2013-06-26,46796
122560,Rahim,1988-05-07,2013-08-12,58812
123703,Lina,1998-09-14,2012-03-06,30686
174060,Lina,1989-07-20,2017-02-19,52419
117116,Nashit,1993-07-24,2006-05-20,42048
121003,Aqil,1999-09-01,2004-07-19,30963
186202,Aisha,1997-10-06,2016-03-19,61939
158650,Qistina,1982-12-01,2008-03-16,47240
140317,Zaim,1992-06-21,2002-07-28,37286
137640,Aina,1996-12-21,2006-12-14,55998
191653,Zulaikhah,1989-01-09,2000-08-01,60512
165608,Sofia,1985-11-28,2004-04-04,52535
149912,Ammar,1999-07-22,2016-09-03,59432
177509,Matthew,1983-01-17,2011-03-07,36804
126920,Azfar,1984-01-01,2002-12-27,47042
139705,Zaim,1996-05-19,2019-06-26,36904
170664,Kamil,1986-04-23,2002-04-05,57557
130453,Luqman,1990-01-15,2003-10-10,39371
155230,Anis,1994-10-15,2002-08-22,44993
